image,mode,blur_mode,K,score
image10.jpg,rgb,no_blur,2,0.446854829788208
image10.jpg,rgb,no_blur,3,0.40397071838378906
image10.jpg,rgb,no_blur,4,0.42622458934783936
image10.jpg,rgb,no_blur,5,0.4281155467033386
image10.jpg,rgb,blur_all,2,0.45212119817733765
image10.jpg,rgb,blur_all,3,0.40301287174224854
image10.jpg,rgb,blur_all,4,0.4252299666404724
image10.jpg,rgb,blur_all,5,0.436307430267334
image10.jpg,hsv,no_blur,2,0.33125877380371094
image10.jpg,hsv,no_blur,3,0.3111388683319092
image10.jpg,hsv,no_blur,4,0.32853442430496216
image10.jpg,hsv,no_blur,5,0.34961873292922974
image10.jpg,hsv,blur_all,2,0.34553262591362
image10.jpg,hsv,blur_all,3,0.33311551809310913
image10.jpg,hsv,blur_all,4,0.32478001713752747
image10.jpg,hsv,blur_all,5,0.34429001808166504
image10.jpg,rgb_xy,no_blur,2,0.33138468861579895
image10.jpg,rgb_xy,no_blur,3,0.34756597876548767
image10.jpg,rgb_xy,no_blur,4,0.36870506405830383
image10.jpg,rgb_xy,no_blur,5,0.343758761882782
image10.jpg,rgb_xy,blur_all,2,0.3351685404777527
image10.jpg,rgb_xy,blur_all,3,0.3524722456932068
image10.jpg,rgb_xy,blur_all,4,0.37499767541885376
image10.jpg,rgb_xy,blur_all,5,0.35140952467918396
image2.jpg,rgb,no_blur,2,0.6731708645820618
image2.jpg,rgb,no_blur,3,0.6880306005477905
image2.jpg,rgb,no_blur,4,0.6107005476951599
image2.jpg,rgb,no_blur,5,0.6145456433296204
image2.jpg,rgb,blur_all,2,0.6747446656227112
image2.jpg,rgb,blur_all,3,0.682296872138977
image2.jpg,rgb,blur_all,4,0.6168445348739624
image2.jpg,rgb,blur_all,5,0.6106184720993042
image2.jpg,hsv,no_blur,2,0.5001168251037598
image2.jpg,hsv,no_blur,3,0.5417187213897705
image2.jpg,hsv,no_blur,4,0.519454300403595
image2.jpg,hsv,no_blur,5,0.5146244168281555
image2.jpg,hsv,blur_all,2,0.502265989780426
image2.jpg,hsv,blur_all,3,0.5422822833061218
image2.jpg,hsv,blur_all,4,0.5272603631019592
image2.jpg,hsv,blur_all,5,0.5111386179924011
